Family	Genus	species	Genus_species	species_lsid	author	year	parentheses	distribution_WSC	Notes	Citation_WSC	Measured	Ecological_classification	Guild	Cave_deep	Cave_entr	SSH	External	Alien	Verticality	Pigment	Eyeless	Eyes_regression	Leg_elongation	Body_length_min_f	Body_length_max_f	Body_length_min_m	Body_length_max_m	Body_length_avg_f	Body_length_avg_m	Sexual_Size_Dimorphism	Body_length_avg	Prosoma_length_f	Prosoma_length_m	Prosoma_length_avg	Prosoma_width_f	Prosoma_width_m	Prosoma_width_avg	Prosoma_shape	Prosoma_height_f	Prosoma_height_m	Prosoma_height_avg	Profile_flattening	Femur_I_length_f	Femur_I_length_m	Femur_I_length_avg	Femur_elongation	Tibia_I_length_f	Tibia_I_length_m	Tibia_I_length_avg	Tibia_elongation 	Fang_length_f	Fang_length_m	Fang_length_avg	Clypeus_height_f	Clypeus_height_m	Clypeus_height_avg	AME	AME_type	ALE	PME	PLE	Eye_reduction_ratio	AME-ALE	PME-PLE	Capture_web	Sensing_web	No_web	Tube_web	Sheet_web	Space_web	Orb_web	Ambush_hunter	Active_hunter	Food_specialist	Dispersal
Linyphiidae	Troglohyphantes	confusus	Troglohyphantes confusus	urn:lsid:nmbe.ch:spidersp:013030	Kratochvi­l	1939	0	Slovenia	small mammals burrows: MSS.	Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220.; Kratochvíl, J. (1939). À propos des deux araignées cavernicoles de Yougoslavie. Věstník Československé Zoologické Společnosti v Praze 6-7: 279-289.; Polenec, A. (1977). Beitrag zur Kenntnis der Spinnenfauna des Berglandes von Skofja Loka. Loški Razgledi 24: 164-172.	yes	Troglophile	Sheet	0	1	1	1	0	Soil + Wall	Fully	0	0	0	NA	2,850	2,150	2,450	2,850	2,300	0,807	2,575	1,100	1,060	1,080	0,960	0,960	0,960	1,125	0,430	0,430	0,430	0,398	1,580	1,630	1,605	0,623	1,650	1,820	1,735	0,674	NA	NA	NA	NA	NA	NA	0,040	Present	NA	0,070	0,060	NA	NA	0,035	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	croaticus	Troglohyphantes croaticus	urn:lsid:nmbe.ch:spidersp:013032	Chyzer	1894	1	Croatia	Croatian Biospeleological Society collection: mesured samples CBSSAR 2269 male & 2269 & 6678 females	Chyzer&Kulczyński_1894/Fage_1919/Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	1	0	2,500	2,878	2,342	2,880	2,700	2,880	1,067	2,790	0,993	1,221	1,107	0,828	1,100	0,964	1,148	0,348	0,419	0,384	0,347	2,160	2,740	2,450	0,878	2,400	3,100	2,750	0,986	0,243	0,244	NA	0,169	0,211	0,190	0,035	Present	0,058	0,058	0,058	0,274	0,060	0,048	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	cruentus	Troglohyphantes cruentus	urn:lsid:nmbe.ch:spidersp:013033	Brignoli	1971	0	Slovenia	-	Brignoli, P. M. (1971c). Contributo alla conoscenza dei ragni cavernicoli della Jugoslavia. Fragmenta Entomologica 7: 103-119.; Deeleman-Reinhold, C. L. (1978b). Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the Yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220.	yes	Troglophile	Sheet	0	0	0	1	0	Soil + Wall	Fully	0	0	0	NA	NA	2,510	2,650	NA	2,650	NA	2,650	NA	1,105	1,105	NA	1,020	1,060	1,042	NA	0,480	NA	NA	NA	1,730	1,730	0,653	NA	1,800	1,800	0,679	NA	NA	NA	NA	NA	NA	0,045	Present	NA	0,070	0,055	NA	NA	0,040	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	dalmaticus	Troglohyphantes dalmaticus	urn:lsid:nmbe.ch:spidersp:013034	Kulczynski	1914	1	Croatia	Misure occhi in latino 1914(poco chiare); Croatian Biospeleological Society collection: North Macedonia is wrong locality; measured samples CBSSAR 2225 female	Kulczyński W (1914) Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 353-387; Fage, L. (1919). Biospelogica XL. Etudes sur les araignées cavernicoles. III. Sur le genre Troglohyphantes. Archives de Zoologie Expérimentale et Générale 58: 55-148, pl. 2-8.; 	no	Troglophile	Sheet	0	1	0	0	0	Soil + Wall	Partly	0	0	0	3,915	3,900	NA	NA	3,900	NA	NA	3,900	1,300	NA	NA	1,130	NA	1,130	NA	0,364	NA	NA	NA	2,690	NA	2,690	0,690	2,720	NA	2,720	0,697	0,282	NA	NA	0,215	NA	0,215	0,060	Present	0,083	0,074	0,086	0,353	0,058	0,055	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	deelemanae	Troglohyphantes deelemanae	urn:lsid:nmbe.ch:spidersp:013035	Tanasevitch	1987	0	Georgia	-	Tanasevitch_1987	yes	Troglophile	Sheet	0	1	0	0	0	Soil + Wall	Fully	0	0	0	4,350	4,350	4,220	4,220	4,350	4,220	0,970	4,285	1,800	1,850	1,825	1,350	1,450	1,400	1,304	NA	NA	NA	NA	2,550	2,650	2,600	0,607	2,700	2,700	2,700	0,630	NA	NA	NA	NA	NA	NA	NA	Present	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	dekkingae	Troglohyphantes dekkingae	urn:lsid:nmbe.ch:spidersp:013036	Deeleman-Reinhold	1978	0	Bosnia and Herzegovina	Croatian Biospeleological Society collection: measured samples CBSSAR 5216 & 5198 females	Deeleman-Reinhold_1978b	no	Troglophile	Sheet	1	1	0	0	0	Soil + Wall	Variable	0	0	0	2,972	3,170	2,700	2,9	3,170	2,700	0,852	2,935	1,445	1,325	1,385	1,150	1,150	1,150	1,204	0,337	NA	NA	NA	2,640	2,640	2,640	0,899	2,740	2,650	2,695	0,918	0,261	NA	NA	0,158	NA	0,158	0,055	Present	0,082	0,070	0,070	0,438	0,056	0,040	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	diabolicus	Troglohyphantes diabolicus	urn:lsid:nmbe.ch:spidersp:013038	Deeleman-Reinhold	1978	0	Slovenia	small mammals burrows: MSS	Deeleman-Reinhold C L (1978b) Revision of the cave-dwelling and related spiders of the genus Troglohyphantes Joseph (Linyphiidae), with special reference to the yugoslav species. Slovenska Akademija Znanosti in Umetnosti, Razred za Prirodoslovne Vede, Classis IV, Historia Naturalis (Prirod. Vede) 23: 1-220	yes	Troglophile	Sheet	0	1	1	1	0	Soil + Wall	Variable	0	0	0	NA	3,360	NA	2,930	3,360	2,930	0,872	3,145	1,090	1,115	1,103	0,915	1,015	0,965	1,142	NA	NA	NA	NA	1,920	1,940	1,930	0,614	2,300	NA	2,300	0,731	NA	NA	NA	NA	NA	NA	0,050	Present	NA	0,058	0,055	NA	NA	0,055	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	dinaricus	Troglohyphantes dinaricus	urn:lsid:nmbe.ch:spidersp:013039	Kratochvi­l	1948	1	Croatia	unspecified if Deep or Entrance, howewer in caves; Croatian Biospeleological Society collection: measured samples CBSSAR 278 female & 280 male	Kratochvíl J (1948) Étude sur les araignées cavernicoles du genre Stygohyphantes gen. nov. Věstník Československé Zoologické Společnosti v Praze 12: 3-24	no	Troglobiont	Sheet	1	1	0	0	0	Soil + Wall	Depigmented	0	0	0	3,190	3,300	2,620	2,850	3,245	2,735	0,843	2,990	1,206	1,403	NA	1,08	1,237	NA	NA	0,461	0,557	NA	NA	2,550	2,400	2,475	0,828	2,670	2,510	2,590	0,866	0,275	0,335	NA	0,17	0,227	0,199	0,056	Present	0,072	0,066	0,067	0,329	0,074	0,057	1	0	0	0	1	1	0	0	0	0	0
Linyphiidae	Troglohyphantes	diurnus	Troglohyphantes diurnus	urn:lsid:nmbe.ch:spidersp:013040	Kratochvi­l	1932	0	Austria, Slovenia, Croatia	-	Kratochvíl J (1932a) Prispevek k poznání Araneid stredni Slavonie. Sborník Vysoké Školy Zemědělské, Brno (C) 23: 1-16; Kratochvíl, J. (1934). Liste generale des Araignees cavernicoles en Yougoslavie. Prirodopis Životinjstva, 2, 165–226.	no	Troglophile	Sheet	0	1	0	1	0	Soil + Wall	Partly	0	0	1	2,750	3,100	NA	NA	3,100	NA	NA	3,100	1,200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2,140	NA	NA	NA	2,380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Present	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	1
Linyphiidae	Troglohyphantes	dominici	Troglohyphantes dominici	urn:lsid:nmbe.ch:spidersp:013041	Pesarini	1988	0	Italy	unspecified if Deep or Entrance, howewer in caves.	Pesarini_1988a	no	Troglophile	Sheet	1	1	0	0	0	Soil + Wall	Partly	0	0	0	NA	2,260	NA	2,250	2,260	2,250	0,996	2,255	1,160	1,180	1,170	0,870	0,960	0,915	1,279	0,367	0,393	0,380	0,325	1,600	1,620	1,610	0,714	1,620	1,740	1,680	0,745	NA	NA	NA	0,197	0,234	0,216	0,031	Present	0,060	0,057	0,073	0,256	0,049	0,053	1	0	0	0	1	1	0	0	0	0	0
