"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Centromerus bulgarianus" "Linyphiidae" "Centromerus" "bulgarianus" "Centromerus bulgarianus" "urn:lsid:nmbe.ch:spidersp:009719" "Drensky" 1931 1 "Bulgaria" "-" "Deltshev, C. (1973b). Redescription of Centromerus bulgarianus (Drensky 1931) and Centromerus lakatnikensis (Drensky 1931) (Araneae, Linyphiidae). Inter-tio-l Jour-l of Speleology 5: 117-126." "yes" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 1.74 1.74 1.64 1.64 1.74 1.64 0.943 1.69 0.75 0.87 0.81 0.54 0.54 0.54 1.5 NA NA NA NA 0.91 1 0.955 0.565 0.75 0.87 0.81 0.479 NA NA NA 0.09 0.09 0.09 0 "Absent_Adaptation" 0 0 0 0 0 NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus cavernarum" "Linyphiidae" "Centromerus" "cavernarum" "Centromerus cavernarum" "urn:lsid:nmbe.ch:spidersp:009721" "L. Koch" 1872 1 "Europe" "Croatian Biospeleological Society collection: measured samples CBSSAR  5256 female & 6782 male" "Dumitrescu, M. & Georgescu, M. (1980). Quelques espèces du genre Centromerus (Araneae, Linyphiidae) trouvées en Roumanie. Travaux de l’Institut de Spéologie “Émile Racovitza” 19: 103-123" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil" "Depigmented" 0 1 0 1.777 2.05 1.808 1.852 1.975 1.826 0.925 1.901 0.603 0.792 NA 0.533 0.76 NA NA 0.285 0.37 NA NA 0.675 0.775 0.725 0.381 0.65 0.8 0.725 0.381 0.158 0.193 NA 0.097 0.16 0.129 0.032 "Present" 0.045 0.037 0.04 0.299 0.02 0.033 1 0 0 0 1 1 0 0 0 0 0
"Centromerus chappuisi" "Linyphiidae" "Centromerus" "chappuisi" "Centromerus chappuisi" "urn:lsid:nmbe.ch:spidersp:009722" "Fage" 1931 0 "Romania" "-" "Dumitrescu, M. & Georgescu, M. (1980). Quelques espèces du genre Centromerus (Araneae, Linyphiidae) trouvées en Roumanie. Travaux de l’Institut de Spéologie “Émile Racovitza” 19: 103-123." "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Soil" "Depigmented" 0 0 0 1.8 2 1.675 1.675 1.9 1.675 0.882 1.788 0.82 0.79 0.805 0.6 0.65 0.625 1.288 NA NA NA NA 0.625 0.75 0.688 0.385 0.65 0.775 0.713 0.399 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus dacicus" "Linyphiidae" "Centromerus" "dacicus" "Centromerus dacicus" "urn:lsid:nmbe.ch:spidersp:009728" "Dumitrescu & Georgescu" 1980 0 "Romania, Serbia" "-" "Dumitrescu, M. & Georgescu, M. (1980). Quelques espèces du genre Centromerus (Araneae, Linyphiidae) trouvées en Roumanie. Travaux de l’Institut de Spéologie “Émile Racovitza” 19: 103." "no" "Troglobiont" "Sheet" 1 1 0 0 0 "Wall" "Depigmented" 1 1 0 1.25 1.575 1.15 1.325 1.413 1.238 0.876 1.325 1 NA 1 0.5 0.525 0.513 1.951 NA NA NA NA 0.9 0.775 0.838 0.632 0.925 0.8 0.863 0.651 NA NA NA NA NA NA NA "Absent_Adaptation" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus lakatnikensis" "Linyphiidae" "Centromerus" "lakatnikensis" "Centromerus lakatnikensis" "urn:lsid:nmbe.ch:spidersp:009744" "Drensky" 1931 1 "Hungary, Serbia, North Macedonia, Bulgaria, Greece" "-" "Deltshev, C. (1973b). Redescription of Centromerus bulgarianus (Drensky 1931) and Centromerus lakatnikensis (Drensky 1931) (Araneae, Linyphiidae). International Journal of Speleology 5: 117-126" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 0 2.16 2.5 1.92 1.92 2.33 1.92 0.824 2.125 1.5 1.9 1.7 0.57 0.73 0.65 2.615 NA NA NA NA NA 0.82 0.82 0.386 NA 0.73 0.73 0.344 NA NA NA 0.05 0.09 0.07 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus milleri" "Linyphiidae" "Centromerus" "milleri" "Centromerus milleri" "urn:lsid:nmbe.ch:spidersp:009750" "Deltshev" 1974 0 "Bulgaria" "-" "Deltshev, C. (1974). A new Centromerus from Bulgarian caves (Araneae, Linyphiidae). International Journal of Speleology 6: 81." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 3.46 3.46 2.88 2.88 3.46 2.88 0.832 3.17 NA NA NA 1.15 1.06 1.105 NA NA NA NA NA 1.73 1.67 1.7 0.536 1.73 1.67 1.7 0.536 NA NA NA 0.23 0.23 0.23 NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus obenbergeri" "Linyphiidae" "Centromerus" "obenbergeri" "Centromerus obenbergeri" "urn:lsid:nmbe.ch:spidersp:009753" "Kratochvi­l & Miller" 1938 0 "Montenegro" "-" "Deltshev, C. & Ćurčić, B. P. M. (2002). A contribution to the study of the genus Centromerus Dahl (Araneae: Linyphiidae) in caves of the Balkan Peninsula. Revue Suisse de Zoologie 109(1): 174." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 1 1.44 1.44 1.44 1.44 1.44 1.44 1 1.44 0.8 0.7 0.75 0.54 0.64 0.59 1.271 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus paradoxus" "Linyphiidae" "Centromerus" "paradoxus" "Centromerus paradoxus" "urn:lsid:nmbe.ch:spidersp:009757" "Simon" 1884 1 "Western Mediterranean" "-" "Ballarin, F. & Pantini, P. (2020). Three new species and new records of the genus Centromerus (Araneae, Linyphiidae) from Italy. European Journal of Taxonomy 660: 15. ; Dresco, E. (1952). Remarques sur les Centromerus du groupe paradoxus et description de deux espèces nouvelles. Notes biospéologiques 7: 95. ; Simon, E. (1884a). Les arachnides de France. Tome cinquième, deuxième et troisième partie. Roret, Paris, 352." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 1 1.8 1.8 NA NA 1.8 NA NA 1.8 0.34 NA 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus sellarius" "Linyphiidae" "Centromerus" "sellarius" "Centromerus sellarius" "urn:lsid:nmbe.ch:spidersp:009767" "Simon" 1884 1 "Europe, Russia (Europe to South Siberia)" "Croatian Biospeleological Society collection: measured samples CBSSAR 664 female & 1334 male" "Simon, E. (1884a). Les arachnides de France. Tome cinquième, deuxième et troisième partie. Roret, Paris, 394. Wiehle, H. (1956). Spinnentiere oder Arachnoidea (Araneae). 28. Familie Linyphiidae – Baldachinspinnen. Die Tierwelt Deutschlands 44: 45." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 1.703 2.5 1.956 3 2.35 2.6 1.106 2.475 0.8065 0.832 0.819 0.535 0.901 0.718 1.141 0.281 0.334 NA NA 0.653 1.089 NA NA 0.672 1.005 NA NA 0.174 0.249 NA 0.144 0.127 0.136 0.024 "Present" 0.06 0.055 0.046 0.339 0.039 0.049 1 0 0 0 1 1 0 0 0 0 0
"Centromerus subcaecus" "Linyphiidae" "Centromerus" "subcaecus" "Centromerus subcaecus" "urn:lsid:nmbe.ch:spidersp:009776" "Kulczynski" 1914 0 "Europe" "-" "Kratochvíl, J. & Miller, F. (1938b). Sur le problème des araignées cavernicoles du genre Centromerus de la Péninsule balkanique. Izvestiya na Tsarskite Prirodonauchni Instituti v Sofia 11: 109 (m). ; Kulczyński, W. (1914). Aranearum species novae minusve cognitae, in montibus Kras dictis a Dre C. Absolon aliisque collectae. Bulletin International de l'Academie des Sciences de Cracovie 1914: 359 (f). " "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 0 1.4 1.6 1.4 1.6 1.5 1.5 1 1.5 1.11 1.19 1.15 0.61 NA 0.61 1.885 NA NA NA NA 0.99 0.88 0.935 0.623 0.97 0.84 0.905 0.603 NA NA NA 0.15 NA 0.15 0.02 "Present" 0.02 0.02 NA 0.133 NA NA 1 0 0 0 1 1 0 0 0 0 0
"Centromerus unicolor" "Linyphiidae" "Centromerus" "unicolor" "Centromerus unicolor" "urn:lsid:nmbe.ch:spidersp:009789" "Roewer" 1959 0 "Turkey" "-" "Roewer, C. F. (1959a). Die Araneae, Solifuga und Opiliones der Sammlungen des Herrn Dr. K. Lindberg aus Griechenland, Creta, Anatolien, Iran und Indien. Göteborgs Kungliga Vetenskaps och Vitterhets Samhälles Handlingar 8(4): 14 (f)." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Fully" 0 0 1 2.4 2.4 NA NA 2.4 NA NA 2.4 NA 1.15 1.15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Chorizomma subterraneum" "Hahniidae" "Chorizomma" "subterraneum" "Chorizomma subterraneum" "urn:lsid:nmbe.ch:spidersp:022111" "Simon" 1872 0 "Spain, France" "unspecified if deep or entrance" "Simon_1875a/de Blauwe_1973a" "no" "Troglophile" "Sheet" 1 1 1 1 0 "Soil" "Partly" 0 1 1 4.2 4.7 NA 3.7 4.45 3.7 0.831 4.075 2 1.9 1.95 1.3 1.3 1.3 1.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Cicurina cicur" "Hahniidae" "Cicurina" "cicur" "Cicurina cicur" "urn:lsid:nmbe.ch:spidersp:022133" "Fabricius" 1793 1 "Europe to Central Asia" "-" "Menge_1871/Simon_1875a/Chamberlin&Ivie_1940/de_Blauwe_1973a/Roberts_1995/Almquist_2006/inediti" "no" "Troglophile" "Sheet" 0 1 1 1 0 "Soil" "Partly" 0 0 0 5 7 5 7 6 6 1 6 2.85 2.615 2.7325 1.7 1.67 1.685 1.622 0.836 0.896 0.866 0.317 2.04 1.9 1.97 0.328 1.86 1.9 1.88 0.313 0.609 0.475 0.542 0.347 0.231 0.289 0.08 "Present" 0.072 0.051 0.048 0.217 0.083 0.13 1 0 0 0 0 0 1 0 0 0 0
"Cybaeodes indalo" "Liocranidae" "Cybaeodes" "indalo" "Cybaeodes indalo" "urn:lsid:nmbe.ch:spidersp:047643" "Ribera & De Mas" 2015 0 "Spain" "-" "Ribera&De_Mas_2015" "no" "Troglobiont" "Ground" 1 0 1 0 0 "Soil" "Depigmented" 1 0 0 NA 6.01 NA 4.39 6.01 4.39 0.73 5.205 2.78 2.1 2.44 2.1 1.86 1.98 1.232 NA NA NA NA 2.93 2.5 2.715 0.522 2.83 2.5 2.665 0.512 NA NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Diplocephalus alpinus" "Linyphiidae" "Diplocephalus" "alpinus" "Diplocephalus alpinus" "urn:lsid:nmbe.ch:spidersp:010038" "O. Pickard-Cambridge" 1873 1 "Italy, Central Europe to Greece and Russia (Europe)" "-" "Chyzer, C. & Kulczyński, W. (1894). Araneae Hungariae. Tomus II. Academia Scientarum Hungaricae, Budapest, p. 109. . Pesarini, C. (1996). Note su alcuni Erigonidae italiani, con descrizione di una nuova specie (Araneae). Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano 135: 416." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Fully" 0 0 0 2.2 2.2 2 2 2.2 2 0.909 2.1 NA NA NA 0.7 0.75 0.725 NA NA NA NA NA 0.75 0.85 0.8 0.381 0.62 0.68 0.65 0.31 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 1 0 1
"Domitius baeticus" "Nesticidae" "Domitius" "baeticus" "Domitius baeticus" "urn:lsid:nmbe.ch:spidersp:043874" "Lopez-Pancorbo & Ribera" 2011 1 "Spain" "Known only for few caves in NE Jaén, Spain" "Lopez-Pancorbo & Ribera, 2011" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 0 1 1 NA 6.3 6.3 NA 6.4 6.4 1 6.35 2.9 3.3 3.1 2.9 3.1 3 1.033 NA NA NA NA 8.9 9.4 9.1 1.433 8.9 9.1 9 1.417 NA NA NA NA NA NA 0.03 "Present" 0.07 0.06 0.07 NA 0.14 0.14 1 0 0 0 0 1 0 0 0 0 0
"Domitius luquei" "Nesticidae" "Domitius" "luquei" "Domitius luquei" "urn:lsid:nmbe.ch:spidersp:006690" "Ribera & Guerao" 1995 1 "Spain" "Known only for few caves in Cantabria and eastern Asturies, Spain" "Ribera & Guerao, 1995" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 0 1 1 NA 3.51 3.5 NA 3.87 3.87 1 3.7 1.53 1.8 1.7 1.35 1.58 1.5 1.133 NA NA NA NA 3.87 4.32 4.1 1.108 3.69 4.14 4 1.081 NA NA NA NA NA NA 0.05 "Present" 0.07 0.07 0.07 NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Domitius lusitanicus" "Nesticidae" "Domitius" "lusitanicus" "Domitius lusitanicus" "urn:lsid:nmbe.ch:spidersp:006691" "Fage" 1931 1 "Portugal" "Know only for some caves in Central Portugal" "Ribera, 1988" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 1 0 0 NA 3.5 3.5 NA 2.9 2.9 1 4 NA 1.38 1.38 NA 1.23 1.23 1.122 NA NA NA NA NA 3.1 3.1 0.775 NA 3.53 NA NA NA NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"Domitius menozzii" "Nesticidae" "Domitius" "menozzii" "Domitius menozzii" "urn:lsid:nmbe.ch:spidersp:006566" "Caporiacco" 1934 1 "Italy" "Known for some caves only in central Ligurian alps" "Caporiacco, 1934" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 0 1 1 NA 6.5 6.5 NA 5.2 5.2 1 5.9 2.3 2.2 2.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Domitius murgis" "Nesticidae" "Domitius" "murgis" "Domitius murgis" "urn:lsid:nmbe.ch:spidersp:038513" "Ribera & De Mas" 2003 1 "Spain" "Known only for one cave in southern Spain" "Ribera et al., 2003" "no" "Troglobiont" "Space" 1 0 0 0 0 "Wall" "Depigmented" 1 0 1 NA 3.01 3.01 NA 2.59 2.59 1 3 1.14 1.15 1.14 0.98 1 1 1.14 NA NA NA NA 4.13 4.16 4.15 1.383 4.2 4.64 4.42 1.473 NA NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 NA 0 0 1 0 0 0 0 1 0 0 0 0 0
"Dysderocrates regina" "Dysderidae" "Dysderocrates" "regina" "Dysderocrates regina" "urn:lsid:nmbe.ch:spidersp:004586" "Deeleman-Reinhold" 1988 0 "Turkey" "-" "Deeleman-Reinhold, C. L. & Deeleman, P. R. (1988). Revision des Dysderinae (Araneae, Dysderidae), les espèces mediterranéennes occidentales exceptées. Tijdschrift voor Entomologie 131: 141-269.; Le Peru, B. (2011). The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae. Mémoires de la Société Linnéenne de Lyon 2: 1-522. " "no" "Troglophile" "Ground" 1 1 1 0 0 "Soil" "Fully" 0 0 0 NA 25 NA NA 25 NA NA 25 9.1 NA 9.1 7.1 NA 7.1 1.282 NA NA NA NA 11 NA 11 0.44 9.2 NA 9.2 0.368 2.5 NA 2.5 NA NA NA 0 "Absent_Ontology" NA NA NA NA NA NA 0 0 1 0 0 0 0 0 1 0 0
"Episinus cavernicola" "Theridiidae" "Episinus" "cavernicola" "Episinus cavernicola" "urn:lsid:nmbe.ch:spidersp:007620" "Kulczynski" 1897 1 "Croatia, Slovenia" "Croatian Biospeleological Society collection: measured samples CBSSAR 1689 & 3049 female & 2294 & 4013 male" "Knoflach and Thaler (2000)" "no" "Troglophile" "Space" 1 1 1 1 0 "Soil + Wall" "Fully" 0 0 0 NA 3.004 NA 2.972 3.4 NA NA 3.4 1.141 0.996 1.069 1.061 1.074 1.068 1.001 0.333 0.421 NA NA 1.8 2.011 1.906 0.56 1.6 1.765 1.683 0.495 0.135 0.08 NA 0.231 0.242 0.237 0.065 "Present" 0.098 0.1 0.109 0.393 0.016 NA 1 0 0 0 0 1 0 0 0 0 0
"Eratigena atrica" "Agelenidae" "Eratigena" "atrica" "Eratigena atrica" "urn:lsid:nmbe.ch:spidersp:021197" "C. L. Koch" 1843 1 "Europe. Introduced to Canada, USA" "-" "Bolzern et al (2013)" "no" "Troglophile" "Sheet" 1 0 1 1 0 "Wall" "Fully" 0 0 0 11 16 10 14 13.5 12 0.889 12.75 5.84 5.83 5.835 4.18 4.39 4.285 1.362 NA NA NA NA 6.94 9.39 8.165 0.64 6.61 9.4 8.005 0.628 NA NA NA 0.52 NA 0.52 0.26 "Present" 0.26 0.23 0.24 0.476 0.13 0.23 1 0 0 1 1 0 0 0 0 0 1
"Eratigena herculea" "Agelenidae" "Eratigena" "herculea" "Eratigena herculea" "urn:lsid:nmbe.ch:spidersp:021240" "Fage" 1931 1 "Spain (mainland, Ibiza)" "-" "Ribera & Barrientos (1986); Bolzern et al (2013)" "no" "Troglobiont" "Sheet" 1 0 0 0 0 "Wall" "Fully" 0 1 0 5.51 6.79 NA NA 6.15 5.21 0.847 5.68 3.06 2.44 2.75 2.13 1.77 1.95 1.41 NA NA NA NA 4.46 4.63 4.545 0.8 4.64 5.24 4.94 0.87 NA NA NA 0.12 NA 0.12 0.04 "Present" 0.07 0.05 0.05 0.438 0.08 0.1 1 0 0 1 1 0 0 0 0 0 0
"Eratigena inermis" "Agelenidae" "Eratigena" "inermis" "Eratigena inermis" "urn:lsid:nmbe.ch:spidersp:021242" "Simon" 1870 1 "Portugal, Spain, France" "-" "Bolzern et al (2013)" "yes" "Troglophile" "Sheet" 1 0 0 1 0 "Wall" "Fully" 0 0 0 11.62 14.29 NA NA 12.955 9.85 0.76 11.403 5.55 4.75 5.15 4.67 3.34 4.005 1.286 NA NA NA NA 6.56 7.4 6.98 0.612 6.25 7.39 6.82 0.598 NA NA NA 0.6 NA 0.6 0.2 "Present" 0.25 0.24 0.25 0.392 0.1 0.24 1 0 0 1 1 0 0 0 0 0 0
"Fageiella ensigera" "Linyphiidae" "Fageiella" "ensigera" "Fageiella ensigera" "urn:lsid:nmbe.ch:spidersp:010589" "Deeleman-Reinhold" 1974 0 "Serbia, Montenegro, Kozovo" "-" "Deeleman-Reinhold, C. L. (1974). The cave spider fauna of Montenegro (Araneae). Glasnik Republickog Zavoda za Zastitu Prirode i Prirodnjackog Muzeja Titogradu 6: 14." "no" "Troglophile" "Sheet" 0 1 0 1 0 "Soil + Wall" "Fully" 0 0 1 4 4 4.2 4.2 4 4.2 1.05 4.1 NA NA NA 1.3 1.4 1.35 NA NA NA NA NA 3.8 5.17 4.485 1.094 4.22 5.62 4.92 1.2 NA NA NA 0.25 0.25 0.25 NA "Present" 0.105 0.095 NA 0.4 NA NA 1 0 0 0 1 1 0 0 0 0 0
"Fageiella patellata" "Linyphiidae" "Fageiella" "patellata" "Fageiella patellata" "urn:lsid:nmbe.ch:spidersp:010590" "Kulczynski" 1913 1 "Southeastern Europe" "-" "Kulczyński, W. (1913b). Aranearum speluncariarum peninsulae Balcanicae species duoe novae. In: Absolon, K. (ed.) Dva nové druhy arachnidů z jeskyň bosenskohercegovských a jiné zprávy o arachnofauně balkánské. Časopis Moravského Zemského Musea, Brno 13, 2." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 4.1 4.1 3.5 3.5 4.1 3.5 0.854 3.8 2.05 1.8 1.925 1.25 1.2 1.225 1.571 NA NA NA NA 3.9 4.1 4 1.053 3.98 4.24 4.11 1.082 NA NA NA NA 0.28 0.28 0.1 "Present" 0.08 0.08 NA 0.31 NA NA 1 0 0 0 1 1 0 0 0 0 1
"Folkia boudewijni" "Dysderidae" "Folkia" "boudewijni" "Folkia boudewijni" "urn:lsid:nmbe.ch:spidersp:004589" "Deeleman-Reinhold" 1993 0 "Croatia" "-" "Deeleman-Reinhold, C. L. (1993). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique, 10(6), 105–135." "yes" "Troglobiont" "Ground" 1 0 0 0 0 NA "Depigmented" 1 0 0 NA NA 5.6 5.6 NA 5.6 NA 5.6 NA 3 3 NA 1.9 1.9 1.579 NA NA NA NA NA 3.4 3.4 0.607 NA 2.8 2.8 0.5 NA NA NA NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Folkia haasi" "Dysderidae" "Folkia" "haasi" "Folkia haasi" "urn:lsid:nmbe.ch:spidersp:004590" "Reimoser" 1929 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR3223 & 3234 males & AR6396 & ROC47 females" "Reimoser, E. (1929b). Eine neue Höhlenspinne aus Dalmatien. Senckenbergiana 11: 235-237.; Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62.; Deeleman-Reinhold, C. L. (1993a). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique 10(6): 105-135" "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 9.6 10.96 8.1 8.1 9.6 8.1 0.844 8.85 4.9 4.1 4.5 3.9 3.4 3.65 1.233 NA NA NA NA 5.25 5.2 5.225 0.59 4.2 4.8 4.5 0.508 1.07 1.12 1.095 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Folkia inermis" "Dysderidae" "Folkia" "inermis" "Folkia inermis" "urn:lsid:nmbe.ch:spidersp:004591" "Absolon & Kratochvi­l" 1933 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR3228 & 139 males & 64 & 2482 females" "Deeleman-Reinhold, C. L. (1993). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique, 10(6), 105–135.; Kratochvíl, J. (1970). Cavernicole Dysderae. Přírodovědné práce ústavů Československé Akademie Věd v Brně (N.S.) 4: 1-62." "no" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 9.5 9.9 4.3 8.6 9.7 6.45 0.665 8.075 4.7 3 3.85 5.5 2.7 4.1 0.939 NA NA NA NA 5 3.7 4.35 0.539 4 3.2 3.6 0.446 0.94 0.95 0.945 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Folkia mrazeki" "Dysderidae" "Folkia" "mrazeki" "Folkia mrazeki" "urn:lsid:nmbe.ch:spidersp:004593" "Nosek" 1904 1 "Montenegro" "Croatian Biospeleological Society collection: measured samples CBSS AR5403 & 5367 maled & 6017 female" "Nosek, A. (1904). Pavoukoviti clenovci Cerné Hory. (Arachnoidea montenigrina). Sitzungsberichte der Königlichen Böhmischen Gesellschaft der Wissenschaften, Mathematisch-naturwissenschaftliche Klasse 1903(46): 1-4; Deeleman-Reinhold, C. L. (1993). The genus Rhode and the harpacteine genera Stalagtia, Folkia, Minotauria, and Kaemis (Araneae, Dysderidae) of Yugoslavia and Crete, with remarks on the genus Harpactea. Revue Arachnologique, 10(6), 105–135." "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 0 8.553 9.8 8.655 9.89 9.1765 9.2725 1.01 9.2245 4.9 4.5 4.7 4.01 3.95 3.98 1.181 NA NA NA NA 5.7 6.4 6.05 0.656 4.2 5.3 4.75 0.515 1.033 1.1 1.1 NA NA NA 0 "Absent_Ontology" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"Formiphantes lephthyphantiformis" "Linyphiidae" "Formiphantes" "lephthyphantiformis" "Formiphantes lephthyphantiformis" "urn:lsid:nmbe.ch:spidersp:010618" "Strand" 1907 1 "Europe" "-" "Loksa, I. (1970). Die Spinnen der \"Kölyuk\"-Höhlen im Bükkgebirge (Biospeologica Hungarica XXXIII). Annales Universitatis Scientiarum Budapestinensis (Sect. Biol.) 12: 274. ; Strand, E. (1907c). Zwei neue Spinnen aus württembergischen Höhlen. Zoologischer Anzeiger 31: 570. " "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 0 2 2.4 2 2.4 2.2 2.2 1 2.2 1.9 NA 1.9 NA NA NA NA NA NA NA NA NA 1.27 1.27 0.577 NA 1.47 1.47 0.668 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Hadites tegenarioides" "Agelenidae" "Hadites" "tegenarioides" "Hadites tegenarioides" "urn:lsid:nmbe.ch:spidersp:020960" "Keyserling" 1862 0 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR971, 966, 4014 females" "Kratochvíl (1938)" "yes" "Troglobiont" "Ground" 1 0 0 0 0 "Soil + Wall" "Depigmented" 1 0 1 NA 7.972 NA NA 4 NA NA 4 3.4 NA 3.4 2.32 NA 2.32 1.466 1.3 NA NA NA 4.007 NA 4.007 1.002 4.075 NA 4.075 1.019 1.196 NA NA NA NA NA 0 "Absent_Adaptation" 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0
