"Family" "Genus" "species" "Genus_species" "species_lsid" "author" "year" "parentheses" "distribution_WSC" "Notes" "Citation_WSC" "Measured" "Ecological_classification" "Guild" "Cave_deep" "Cave_entr" "SSH" "External" "Alien" "Verticality" "Pigment" "Eyeless" "Eyes_regression" "Leg_elongation" "Body_length_min_f" "Body_length_max_f" "Body_length_min_m" "Body_length_max_m" "Body_length_avg_f" "Body_length_avg_m" "Sexual_Size_Dimorphism" "Body_length_avg" "Prosoma_length_f" "Prosoma_length_m" "Prosoma_length_avg" "Prosoma_width_f" "Prosoma_width_m" "Prosoma_width_avg" "Prosoma_shape" "Prosoma_height_f" "Prosoma_height_m" "Prosoma_height_avg" "Profile_flattening" "Femur_I_length_f" "Femur_I_length_m" "Femur_I_length_avg" "Femur_elongation" "Tibia_I_length_f" "Tibia_I_length_m" "Tibia_I_length_avg" "Tibia_elongation" "Fang_length_f" "Fang_length_m" "Fang_length_avg" "Clypeus_height_f" "Clypeus_height_m" "Clypeus_height_avg" "AME" "AME_type" "ALE" "PME" "PLE" "Eye_reduction_ratio" "AME.ALE" "PME.PLE" "Capture_web" "Sensing_web" "No_web" "Tube_web" "Sheet_web" "Space_web" "Orb_web" "Ambush_hunter" "Active_hunter" "Food_specialist" "Dispersal"
"Barusia korculana" "Leptonetidae" "Barusia" "korculana" "Barusia korculana" "urn:lsid:nmbe.ch:spidersp:002940" "Kratochvi­l & Miller" 1939 1 "Croatia" "Croatian Biospeleological Society collection: mesured samples CBSSAR 5852 male and female; ALE-PME distance 0.029-0.032" "Kratochvíl, J, & Miller, F, (1939), Espèces nouvelles cavernicoles du genre Paraleptoneta (aranéides) découvertes en Yougoslavie, Archives de Zoologie Expérimentale et Générale 80(N, & Rev,): 96-115; Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522" "no" "Troglobiont" "Space" 1 1 0 0 0 "Soil + Wall" "Depigmented" 0 0 1 1.374 1.59 NA 1.78 1.482 1.78 1.201 1.7 0.539 0.611 NA 0.151 0.504 NA NA 0.131 0.081 NA NA 1.8 2.05 1.925 1.132 2.08 2.4 2.24 1.318 0.153 0.188 NA 0.096 0.141 0.119 0 "Absent_Ontology" 0.047 0.047 0.048 0.397 NA NA 1 0 0 0 0 1 0 0 0 0 0
"Barusia maheni" "Leptonetidae" "Barusia" "maheni" "Barusia maheni" "urn:lsid:nmbe.ch:spidersp:002942" "Kratochvi­l & Miller" 1939 1 "Croatia" "Croatian Biospeleological Society collection: measured samples CBSS AR4804 & 4767 females, & 4767, 3531 & 2766 males; ALE-PME distance 0.037-0.04" "Le Peru, B, (2011), The spiders of Europe, a synthesis of data: Volume 1 Atypidae to Theridiidae, Mémoires de la Société Linnéenne de Lyon 2: 1-522; Kratochvíl, J, & Miller, F, (1939), Espèces nouvelles cavernicoles du genre Paraleptoneta (aranéides) découvertes en Yougoslavie, Archives de Zoologie Expérimentale et Générale 80(N, & Rev,): 96-115" "no" "Troglophile" "Space" 1 1 1 1 0 "Soil + Wall" "Variable" 0 0 0 1.399 1.511 1.31 1.8 1.455 1.555 1.069 1.6 0.617 0.608 NA 0.564 0.496 NA NA 0.186 0.165 NA NA 1.41 1.58 1.495 0.934 1.66 1.84 1.75 1.094 0.163 0.21 NA 0.076 0.121 0.098 0 "Absent_Ontology" 0.05 0.049 0.046 0.49 NA NA 1 0 0 0 0 1 0 0 0 0 0
"Birgerius microps" "Linyphiidae" "Birgerius" "microps" "Birgerius microps" "urn:lsid:nmbe.ch:spidersp:009611" "Simon" 1911 1 "France, Spain" "-" "Saaristo, M. I. (1973a). Birgerius gen. n. (Araneae, Linyphiidae). An-les Zoologici Fennici 10: 449-450. ; Simon, E. (1911a). Araneae et Opiliones (Troisième série). In Biospeologica. XXIII. Archives de Zoologie Expérimentale et Générale (5) 9(2): 177-206." "no" "Troglobiont" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 1 1 1.6 1.6 1 1 1.6 1 0.625 1.3 0.875 0.875 0.875 0.47 0.53 0.5 1.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Bordea berlandi" "Linyphiidae" "Bordea" "berlandi" "Bordea berlandi" "urn:lsid:nmbe.ch:spidersp:011100" "Fage" 1931 1 "Portugal" "-" "Bosmans, R., Cardoso, P. & Crespo, L. C. (2010). A review of the linyphiid spiders of Portugal, with the description of six new species (Araneae: Linyphiidae). Zootaxa 2473: 1-67. doi:10.11646/zootaxa.2473.1.1" "no" "Troglophile" "Sheet" 1 1 0 1 0 "Soil + Wall" "Depigmented" 0 0 1 2.1 2.1 NA 1.7 2.1 1.7 0.81 1.9 2.5 1.185 1.843 0.78 0.76 0.77 2.393 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Bordea negrei" "Linyphiidae" "Bordea" "negrei" "Bordea negrei" "urn:lsid:nmbe.ch:spidersp:009633" "Dresco" 1951 1 "Spain, France" "-" "Denis, J. (1959a). Quelques araignées cavernicoles des Pyrénées. Annales de Spéléologie 14: 219-231. ; Dresco, E. (1951). Sur quelques Leptyphantes cavernicoles et description d'une espèce nouvelle (Araneae). Bulletin du Muséum National d'Histoire Naturelle de Paris (2) 23: 363-367." "no" "Troglophile" "Sheet" 1 1 0 1 0 "Wall" "Depigmented" 0 0 0 1.9 1.9 1.8 2.25 1.9 2.025 1.066 1.963 0.97 0.96 0.965 NA NA NA NA NA NA NA NA 1.4 NA 1.4 0.713 1.4 NA 1.4 0.713 NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 1 1 0 0 0 0 0
"Carpathonesticus biroi" "Nesticidae" "Carpathonesticus" "biroi" "Carpathonesticus biroi" "urn:lsid:nmbe.ch:spidersp:006554" "Kulczyński" 1895 1 "Romania" "-" "Kulczynski, 1895; Dumitrescu, 1980" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Fully" 0 0 0 4.5 5.5 5 NA 4.8 4.8 1 5 2.1 2 2.05 1.9 1.95 1.92 1.068 NA NA NA NA 5 5 5 1 5.1 5 5 1 NA NA NA NA NA NA 0.05 "Present" 0.1 0.1 0.125 NA 0.075 0.1 1 0 0 0 0 1 0 0 0 0 0
"Carpathonesticus borutzkyi" "Nesticidae" "Carpathonesticus" "borutzkyi" "Carpathonesticus borutzkyi" "urn:lsid:nmbe.ch:spidersp:006556" "Reimoser" 1930 1 "Ukraine, Turkey, Georgia" "Molecular data shows it belongs to genus Aituaria" "Mcheidze, 2014; Nadolny & Kovblyuk, 2007" "no" "Troglophile" "Space" 0 1 0 1 0 "Wall" "Fully" 0 0 0 4.8 5 4.9 3.2 4.5 3.85 0.856 4.6 2 2 2 1.8 1.7 1.75 1.143 NA NA NA NA 4.2 4.4 4.3 0.935 4.3 4.5 4.4 0.957 NA NA NA NA NA NA 0.05 "Present" 0.1 0.08 0.08 NA 0.07 0.09 1 0 0 0 0 1 0 0 0 0 1
"Carpathonesticus caucasicus" "Nesticidae" "Carpathonesticus" "caucasicus" "Carpathonesticus caucasicus" "urn:lsid:nmbe.ch:spidersp:006557" "Charitonov" 1947 1 "Georgia" "known only for few caves in the Caucasus. It probably belongs to the genus Aituaria" "Charitonov, 1947; Mcheidze, 2014" "no" "Troglophile" "Space" 0 1 0 0 0 "Wall" "Fully" 0 0 1 NA 6.5 6.5 NA 6 6 1 6.3 3.4 3 3.2 2.8 2.6 2.7 1.185 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Present" NA NA NA NA NA NA 1 0 0 0 0 1 0 0 0 0 0
"Carpathonesticus fodinarum" "Nesticidae" "Carpathonesticus" "fodinarum" "Carpathonesticus fodinarum" "urn:lsid:nmbe.ch:spidersp:006560" "Kulczyński" 1894 1 "Romania" "Known for few caves on the Bihor and Sighistel districts in Romania. Erroneuslyy reported as troglobione in Mammola et al., 2017" "Kulczyński, 1894; Dumitrescu, 1980" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Partly" 0 0 0 5.5 5.7 5.7 5.2 5.8 5.5 0.948 5.6 2.2 2.1 2.15 1.975 1.975 1.97 1.091 NA NA NA NA 5.125 5 5.06 0.904 5.37 5.21 5.22 0.932 NA NA NA NA NA NA 0.075 "Present" 0.1 0.125 0.125 NA 0.075 0.1 1 0 0 0 0 1 0 0 0 0 0
"Carpathonesticus galotshkae" "Nesticidae" "Carpathonesticus" "galotshkae" "Carpathonesticus galotshkae" "urn:lsid:nmbe.ch:spidersp:006561" "Evtushenko" 1993 0 "Ukraine" "Known only from a single cave. It probably belongs to the genus Aituaria" "Evtushenko, 1993" "no" "Troglophile" "Space" 1 1 0 0 0 "Wall" "Fully" 0 0 0 NA 5.5 5.5 NA 4.7 4.7 1 5.1 3.9 2.2 3.05 3.05 1.87 2.46 1.24 NA NA NA NA 4.15 5.2 4.67 0.916 4.2 5.35 4.77 0.935 NA NA NA 0.38 0.41 0.395 0.09 "Present" 0.13 0.09 0.13 0.278 0.07 0.09 1 0 0 0 0 1 0 0 0 0 0
